0,1
NCAA Codes,NCAA Codes
ID,Institution
2,Abilene Christian
30123,Academy of Art
929,Adams St.
3,Adelphi
4,Adrian
11324,Agnes Scott
5,Akron
506337,Akron-Wayne
8,Alabama
6,Alabama A&M
10,Alabama Huntsville
7,Alabama St.
9,UAB
11,Alas. Anchorage
12,Alas. Fairbanks
14,UAlbany
500075,Albany Pharmacy
13,Albany St. (GA)
506450,Alberta (CAN)
2798,Albertus Magnus
15,Albion
16,Albright
17,Alcorn
30170,Alfred St.
18,Alfred
506430,Algoma (CAN)
500112,Alice Lloyd
19,Allegheny
30240,Allen
21,Alma
938,Alvernia
28746,Alverno
506413,American (PR)
22,American Int'l
23,American
24,Amherst
506365,Ana G. MÃ©ndez (PR)
939,Anderson (IN)
13028,Anderson (SC)
506268,Andrews
25,Angelo St.
26,Anna Maria
506476,Antelope Valley
500174,Appalachian Bible
27,App State
506125,Apprentice
500180,Aquinas
966,Arcadia
29,Arizona
500187,Arizona Bible
504994,Arizona Christian
28,Arizona St.
500215,Ark. Baptist
30,Arkansas St.
947,Arkansas Tech
31,Arkansas
30105,Ark.-Fort Smith
32,Little Rock
8411,Ark.-Monticello
2678,Ark.-Pine Bluff
500232,Arlington Baptist
30243,Asbury
35,Ashland
36,Assumption
37,Auburn
30093,AUM
38,Augsburg
39,Augusta
40,Augustana (IL)
41,Augustana (SD)
42,Aurora
953,Austin
43,Austin Peay
506346,Ave Maria
44,Averett
500322,Avila
30146,Azusa Pacific
45,Babson
506174,Bacone
506059,Baker
46,Baldwin Wallace
47,Ball St.
500365,Baptist Bible (MO)
500381,Barclay
962,Bard
49,Barry
15646,Barton
58,Baruch
50,Bates
51,Baylor
30197,Belhaven
52,Bellarmine
500415,Bellevue
2683,Belmont Abbey
14927,Belmont
53,Beloit
54,Bemidji St.
55,Benedict
506015,Benedictine (KS)
506498,Benedictine Mesa
296,Benedictine (IL)
506374,Benedictine-Sprngfld
56,Bentley
30171,Berea
506167,Berkeley (NJ)
506384,Berkeley (NY)
973,Berry
506014,Bethany (KS)
59,Bethany (WV)
30038,Bethany Lutheran
500485,Bethel (IN)
506120,Bethel (KS)
500500,Bethel (TN)
60,Bethel (MN)
506379,Bethesda (CA)
61,Bethune-Cookman
62,Binghamton
30220,Biola
28593,Birmingham-So.
30134,Black Hills St.
64,Blackburn
984,Bloomfield
65,Bloomsburg
500551,Blue Mountain (MS)
985,Bluefield St.
500552,Bluefield Univ.
987,Bluffton
506320,Bob Jones
66,Boise St.
67,Boston College
68,Boston U.
69,Bowdoin
70,Bowie St.
71,Bowling Green
506316,Boyce
72,Bradley
73,Brandeis
506451,Brandon (CAN)
506178,Brenau
500610,Brescia
30094,Brevard
500612,Brewton-Parker
500615,Briar Cliff (IA)
74,Bridgeport
75,Bridgewater (VA)
76,Bridgewater St.
506366,Briercrest (CAN)
77,BYU
506196,British Colum. (CAN)
506452,B.C.-Okanagan (CAN)
506438,Brock (CAN)
78,SUNY Brockport
79,Brooklyn
80,Brown
506542,Bry. & Strat. (Roc.)
506538,Bry. & Strat. (Alb.)
506496,Bry. & Strat. (Buf.)
506539,Bry. & Strat. (Syr.)
500660,Bryan
81,Bryant
30188,Bryn Athyn
82,Bryn Mawr
83,Bucknell
84,Buena Vista
85,Buffalo St.
86,Buffalo
503780,Bushnell
87,Butler
506555,Bay Path
506560,Biblical Stud. (TX)
88,Cabrini
1305,Cairn
91,Cal Poly Pomona
995,Caldwell
506453,Calgary (CAN)
106,California (PA)
30135,California Baptist
105,Cal Lutheran
500745,Cal Maritime
506371,UC Merced
90,Cal Poly
30055,Cal St. Monterey Bay
94,CSU Bakersfield
95,Chico St.
92,Cal St. Dom. Hills
98,Cal St. East Bay
96,Fresno St.
97,Cal St. Fullerton
101,CSUN
102,Sacramento St.
93,CSUSB
103,Stanislaus St.
100,Cal State LA
291,Cal Poly Humboldt
30198,Cal St. San Marcos
107,California
108,UC Davis
109,UC Irvine
110,UCLA
111,UC Riverside
112,UC San Diego
104,UC Santa Barbara
113,UC Santa Cruz
89,Caltech
506194,Calumet Col.
500768,Calvary
114,Calvin
996,Cameron
506461,Camosun (CAN)
506534,Camp. Harrodsburg
506535,Camp. Somerset
115,Campbell
500785,Campbellsville
506490,Canadian Mennonite
116,Canisius
30165,SUNY Canton
506409,Capilano (CAN)
117,Capital
506030,Cardinal Stritch
118,Carleton
30253,Carlow
119,Carnegie Mellon
504130,CarolinaU
506056,Carroll (MT)
120,Carroll (WI)
1000,Carson-Newman
121,Carthage
122,CWRU
1001,Catawba
500855,Catholic (PR)
124,Catholic
14795,Cedar Crest
30124,Cedarville
125,Centenary (LA)
12884,Centenary (NJ)
1004,Central Ark.
506117,Central Baptist
500402,Central Bayamon
506327,Cent. Christian (KS)
500879,Cent. Christian Bib.
126,Central (IA)
127,Central Conn. St.
128,UCF
506026,Central Methodist
129,Central Mich.
130,Central Mo.
1009,Central Okla.
506372,Central Penn
30049,Central St. (OH)
1010,Central Wash.
132,Centre
1012,Chadron St.
133,Chaminade
506304,Champion Chris.
134,Chapman
1014,Col. of Charleston
1013,Charleston (WV)
48,Charleston So.
10972,Chatham
21323,Chestnut Hill
506537,Cheyney
137,UChicago
136,Chicago St.
8875,Chowan
500958,Christendom
1015,Christian Brothers
139,Chris. Newport
140,Cincinnati
141,The Citadel
480,CCNY
30058,Claflin
142,Claremont-M-S
143,Clarion
144,Clark Atlanta
958,Clarks Summit
145,Clark (MA)
506382,Clarke
146,Clarkson
20576,Clayton St.
506322,Cleary
147,Clemson
148,Cleveland St.
506557,Clinton
149,Coastal Carolina
502747,Coastal Ga.
30083,Cobleskill St.
150,Coe
1023,Coker
151,Colby
152,Colby-Sawyer
153,Colgate
157,Colorado
11403,Colo. Christian
154,Colorado Col.
11416,Colorado Mesa
155,Colo. Sch. of Mines
2720,CSU Pueblo
156,Colorado St.
9754,UC-Colo. Springs
501097,Columbia (MO)
501098,Columbia (SC)
506287,Columbia Bible (CAN)
506478,Columbia Int'l
158,Columbia
159,Columbus St.
1028,Concord
501123,Concordia (MI)
506061,Concordia (NE)
161,Concordia-M'head
160,Concordia Chicago
30199,CUI
24400,Concordia (TX)
1036,Concordia Wisconsin
506358,Concordia-Montreal
9081,Concordia-St. Paul
164,UConn
163,Connecticut Col.
8935,Converse
501167,Cooper Union
165,Coppin St.
505690,Corban
166,Cornell College
167,Cornell
501182,Cornerstone
168,Cortland
506533,Cottey
30111,Covenant
169,Creighton
506350,Crowley's Ridge
30035,Crown (MN)
506352,Culinary Institute
506032,Culver-Stockton
501207,Cumberland (TN)
506101,Cumberlands (KY)
170,Curry
506561,Caribbean-BayamÃ³n
506565,Carolina Christian
1059,D'Youville
30174,Daemen
506066,Dakota St.
506033,Dakota Wesleyan
1044,Dallas
1045,DBU
501242,Dallas Christian
506472,Dalton St.
172,Dartmouth
30221,Davenport
173,Davidson
174,Davis & Elkins
506376,Dayspring Bible
175,Dayton
30219,Dean
1050,Defiance
180,Delaware
178,Delaware St.
179,Delaware Valley
30225,SUNY Delhi
181,Delta St.
182,Denison
183,Denver
176,DePaul
177,DePauw
20,DeSales
184,Detroit Mercy
185,Dickinson
506123,Dickinson St.
501365,Dillard
506505,DinÃ©
186,Dist. Columbia
506020,Doane
30118,Dominican (CA)
1332,Dominican (IL)
8956,Dominican (NY)
501390,Dordt
506462,Douglas (CAN)
189,Drake
190,Drew
191,Drexel
1057,Drury
192,Dubuque
193,Duke
194,Duquesne
195,Earlham
196,East Carolina
8965,East Central
197,East Stroudsburg
198,ETSU
1062,East Tex. Baptist
506193,East-West U.
200,Eastern Conn. St.
201,Eastern Ill.
202,Eastern Ky.
203,East. Mennonite
204,Eastern Mich.
1064,Eastern Nazarene
