Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,NFS Team Code,NCAA ID,ID,Institution
Tennessee Volunteers,University of Tennessee,Volunteers,Southeastern Conference,1A,TN,TEN,TNUN,694.0,694.0,Tennessee
Tennessee-Chattanooga Mocs,University of Tennessee-Chattanooga,Mocs,Southern Conference,1AA,TCH,TEN,TNCH,693.0,693.0,Chattanooga
Tennessee-Martin Skyhawks,University of Tennessee-Martin,Skyhawks,Ohio Valley Conference,1AA,UTM,TEN,TNMR,695.0,695.0,UT Martin
Texas A&M Aggies,Texas A&M University,Aggies,Southeastern Conference,1A,TAM,TEX,TXAM,697.0,697.0,Texas A&M
Texas A&M-Commerce Lions,Texas A&M University-Commerce,Lions,Lone Star Conference,2,TCL,TAC,TXEA,199.0,199.0,Tex. A&M-Commerce
Texas A&M-Kingsville Javelinas,Texas A&M University-Kingsville,Javelinas,Lone Star Conference,2,TKJ,TAK,TXAI,696.0,696.0,Tex. A&M-Kingsville
Texas Christian Horned Frogs,Texas Christian University,Horned Frogs,Big Twelve Conference,1A,TCU,TEX,TXCU,698.0,698.0,TCU
Texas Longhorns,University of Texas,Longhorns,Big Twelve Conference,1A,TX,TEX,TXUN,703.0,703.0,Texas
Texas Lutheran Bulldogs,Texas Lutheran University,Bulldogs,Southern Collegiate Athletic Conference,3,TLU,TEX,TXLU,1400.0,1400.0,Texas Lutheran
Texas Southern Tigers,Texas Southern University,Tigers,Southwestern Athletic Conference,1AA,TST,TEX,TXSO,699.0,699.0,Texas Southern
Texas State Bobcats,Texas State University,Bobcats,Sun Belt Conference,1A,TSU,TEX,TXSW,670.0,670.0,Texas St.
Texas Steers,Texas College,Steers,Central States Football League,NAIA,TEX,TC,TXCL,505260.0,505260.0,Texas Col.
Texas Tech Red Raiders,Texas Tech University,Red Raiders,Big Twelve Conference,1A,TTU,TEX,TXTC,700.0,700.0,Texas Tech
Texas-El Paso Miners,University of Texas-El Paso,Miners,Conference USA,1A,TEP,TEL,TXEP,704.0,704.0,UTEP
The Apprentice School Builders,The Apprentice School,Builders,Independent,3,ASB,TAS,VANN,506125.0,506125.0,Apprentice
Thiel Tomcats,Thiel College,Tomcats,Presidents Athletic Conference,3,THL,TC,PATH,707.0,707.0,Thiel
Thomas More Saints,Thomas More College,Saints,Presidents Athletic Conference,3,TMC,THO,KYTM,1402.0,1402.0,Thomas More
Tiffin Dragons,Tiffin University,Dragons,Great Lakes Intercollegiate Athletic Conference,2,TIF,TU,OHTI,1403.0,1403.0,Tiffin
Toledo Rockets,University of Toledo,Rockets,Mid-American Conference,1A,TOL,UT,OHTO,709.0,709.0,Toledo
Towson Tigers,Towson University,Tigers,Colonial Athletic Association,1AA,TOW,TU,MDTO,711.0,711.0,Towson
Trine Thunder,Trine,Thunder,Michigan Intercollegiate Athletic Association,3,TRI,T,INTR,30037.0,30037.0,Trine
Trinity Bantams,Trinity College,Bantams,New England Small College Athletic Conference,3,TCB,TC,CTTR,713.0,713.0,Trinity (CT)
Trinity International Trojans,Trinity International University,Trojans,Mid-States Football Association,NAIA,TRI,TIU,ILTR,506107.0,506107.0,Trinity Int'l
Trinity Tigers,Trinity University,Tigers,Southern Collegiate Athletic Conference,3,TUT,TU,TXTR,715.0,715.0,Trinity (TX)
Troy Trojans,Troy University,Trojans,Sun Belt Conference,1A,TRY,TRO,ALTR,716.0,716.0,Troy
Truman State Bulldogs,Truman State University,Bulldogs,Great Lakes Valley Conference,2,TRU,TSU,MONE,499.0,499.0,Truman St.
Tufts Jumbos,Tufts University,Jumbos,New England Small College Athletic Conference,3,TUF,TU,MATU,717.0,717.0,Tufts
Tulane Green Wave,Tulane University,Green Wave,American Athletic Conference,1A,TUL,TU,LATU,718.0,718.0,Tulane
Tulsa Golden Hurricane,University of Tulsa,Golden Hurricane,American Athletic Conference,1A,TGH,UT,OKTU,719.0,719.0,Tulsa
Tusculum Pioneers,Tusculum College,Pioneers,South Atlantic Conference,2,TUS,TC,TNTU,12830.0,12830.0,Tusculum
Tuskegee Golden Tigers,Tuskegee University,Golden Tigers,Southern Intercollegiate Athletic Conference,2,TGT,TU,ALTU,720.0,720.0,Tuskegee
Tyler Apaches,Tyler Junior College,Apaches,Southwest Junior College Football Conference,NJCAA,TJC,TYL,TXTY,30028.0,30028.0,UT Tyler
UMass Dartmouth Corsairs,University of Massachusetts-Dartmouth,Corsairs,Massachusetts State College Athletic Conference,3,MDC,MD,MASE,656.0,656.0,UMass Dartmouth
Union Bulldogs,Union College,Bulldogs,Mid-South Conference,NAIA,UC,UNI,KYUC,506105.0,506105.0,Union (KY)
Union Dutchmen,Union College (N.Y.),Dutchmen,Liberty League,3,UD,UC,NYUN,727.0,727.0,Union (NY)
University of St. Francis (Ill.),University of St. Francis (Ill.),Fighting Saints,Mid-States Football Association,NAIA,SFI,A,ILSF,506180.0,506180.0,St. Francis (IL)
University of West Florida,University of West Florida,University of West Florida,Gulf South Conference,2,UWF,WFA,FLWS,11740.0,11740.0,West Florida
Upper Iowa Peacocks,Upper Iowa University,Peacocks,Northern Sun Intercollegiate Conference,2,UI,UIU,IAUP,728.0,728.0,Upper Iowa
Urbana Blue Knights,Urbana University,Blue Knights,Mountain East Conference,2,URB,UU,OHUR,30104.0,,
Ursinus Bears,Ursinus College,Bears,Centennial Conference,3,URS,UC,PAUR,730.0,730.0,Ursinus
Utah State Aggies,Utah State University,Aggies,Mountain West Conference,1A,USU,UTS,UTST,731.0,731.0,Utah St.
Utah Utes,University of Utah,Utes,Pacific Twelve Conference,1A,UT,UU,UTUN,732.0,732.0,Utah
Utica Pioneers,Utica College,Pioneers,Empire 8 Conference,3,UTI,UC,NYUT,733.0,733.0,Utica
UTPB Falcons,University of Texas of the Permian Basin,Falcons,Lone Star Conference,2,TPB,TXP,TXPB,30088.0,30088.0,Tex. Permian Basin
UTSA Roadrunners,University of Texas - San Antonio,Roadrunners,Conference USA,1A,TSA,A,TXSN,706.0,706.0,UTSA
Valdosta State Blazers,Valdosta State University,Blazers,Gulf South Conference,2,VSB,VSU,GAVA,734.0,734.0,Valdosta St.
Valley Vikings,Valley City State University,Vikings,North Star Athletic Association,NAIA,VAL,VCS,NDVA,506055.0,506055.0,Valley City St.
Valparaiso Crusaders,Valparaiso University,Crusaders,Pioneer Football League,1AA,VAL,VU,INVA,735.0,735.0,Valparaiso
Vanderbilt Commodores,Vanderbilt University,Commodores,Southeastern Conference,1A,VAN,VU,TNVA,736.0,736.0,Vanderbilt
Villanova Wildcats,Villanova University,Wildcats,Colonial Athletic Association,1AA,VIL,VU,PAVI,739.0,739.0,Villanova
Virginia at Wise Cavaliers,University of Virginia's College at Wise,Cavaliers,Mountain East Conference,2,VAW,VA,VACV,30181.0,30181.0,UVA Wise
Virginia Cavaliers,University of Virginia,Cavaliers,Atlantic Coast Conference,1A,VA,VIR,VAUN,746.0,746.0,Virginia
Virginia Military Institute Keydets,Virginia Military Institute,Keydets,Southern Conference,1AA,VMI,VIR,VAMI,741.0,741.0,VMI
Virginia Polytechnic Hokies,Virginia Polytechnic Institute and State University,Hokies,Atlantic Coast Conference,1A,VPI,VIR,VAPI,742.0,742.0,Virginia Tech
Virginia State Trojans,Virginia State University,Trojans,Central Intercollegiate Athletic Association,2,VIR,VSU,VAPE,743.0,743.0,Virginia St.
Virginia Union Panthers,Virginia Union University,Panthers,Central Intercollegiate Athletic Association,2,VUU,VIR,VAVU,744.0,744.0,Virginia Union
Virginia University of Lynchburg Dragons,Virginia University of Lynchburg,Dragons,Independent,OTHER,VUL,VLY,VALY,506391.0,506391.0,Virginia-Lynchburg
Wabash Little Giants,Wabash College,Little Giants,North Coast Athletic Conference,3,WAB,WC,INWA,747.0,747.0,Wabash
Wagner Seahawks,Wagner College,Seahawks,Northeast Conference,1AA,WAG,WC,NYWA,748.0,748.0,Wagner
Wake Forest Demon Deacons,Wake Forest University,Demon Deacons,Atlantic Coast Conference,1A,WF,WFU,NCWF,749.0,749.0,Wake Forest
Waldorf Warriors,Waldorf College,Warriors,Mid-States Football Association,NAIA,WAL,WC,IAWL,506242.0,506242.0,Waldorf
Walsh Cavaliers,Walsh University,Cavaliers,Great Lakes Intercollegiate Athletic Conference,2,WAL,WU,OHWA,30141.0,30141.0,Walsh
Warner Royals,Warner University,Royals,The Sun Conference,NAIA,WAR,WU,FLWR,505562.0,505562.0,Warner
Wartburg Knights,Wartburg College,Knights,Iowa Intercollegiate Athletic Conference,3,WAR,WC,IAWA,750.0,750.0,Wartburg
Washburn Ichabods,Washburn University,Ichabods,Mid-America Intercollegiate Athletic Association,2,WAS,WU,KSWA,2814.0,2814.0,Washburn
Washington & Jefferson Presidents,Washington & Jefferson College,Presidents,Presidents Athletic Conference,3,WJP,WJU,PAWJ,751.0,751.0,Wash. & Jeff.
Washington & Lee Generals,Washington & Lee University,Generals,Old Dominion Athletic Conference,3,WLU,WAS,VAWL,752.0,752.0,Wash. & Lee
Washington Bears,Washington University (Mo.),Bears,Independent,3,WUB,WUM,MOWA,755.0,755.0,WashU
Washington Huskies,University of Washington,Huskies,Pacific Twelve Conference,1A,WA,UW,WAUN,756.0,756.0,Washington
Washington State Cougars,Washington State University,Cougars,Pacific Twelve Conference,1A,WSC,WAS,WAST,754.0,754.0,Washington St.
Wayland Baptist Pioneers,Wayland Baptist University,Pioneers,Central States Football League,NAIA,WAY,WB,TXWB,505610.0,505610.0,Wayland Baptist
Wayne State Warriors,Wayne State University,Warriors,Great Lakes Intercollegiate Athletic Conference,2,WAY,WSU,MIWA,757.0,757.0,Wayne St. (MI)
Wayne State Wildcats,Wayne State College (Neb.),Wildcats,Northern Sun Intercollegiate Conference,2,WSW,WSC,NEWA,1433.0,1433.0,Wayne St. (NE)
Waynesburg Yellow Jackets,Waynesburg University,Yellow Jackets,Presidents Athletic Conference,3,WYJ,WU,PAWB,1434.0,1434.0,Waynesburg
Webber Warriors,Webber International University,Warriors,The Sun Conference,NAIA,WIU,WEB,FLWE,505632.0,505632.0,Webber Int'l
Weber State Wildcats,Weber State University,Wildcats,Big Sky Conference,1AA,WEB,WSU,UTWB,758.0,758.0,Weber St.
Wesley Wolverines,Wesley College,Wolverines,New Jersey Athletic Conference,3,WCW,WC,DEWC,763.0,,
Wesleyan Cardinals,Wesleyan University,Cardinals,New England Small College Athletic Conference,3,WUC,WU,CTWS,764.0,764.0,Wesleyan (CT)
West Alabama Tigers,University of West Alabama,Tigers,Gulf South Conference,2,UWA,WA,ALLI,358.0,358.0,West Ala.
West Chester Golden Rams,West Chester University,Golden Rams,Pennsylvania State Athletic Conference,2,WCU,CHE,PAWC,765.0,765.0,West Chester
West Georgia Wolves,University of West Georgia,Wolves,Gulf South Conference,2,WG,WGA,GAWG,766.0,766.0,West Ga.
West Liberty Hilltoppers,West Liberty University,Hilltoppers,Mountain East Conference,2,WL,WlU,WVWL,1438.0,1438.0,West Liberty
West Texas A&M Buffalos,West Texas A&M University,Buffalos,Lone Star Conference,2,WTA,TAM,TXWE,767.0,767.0,West Tex. A&M
West Virginia Mountaineers,West Virginia University,Mountaineers,Big Twelve Conference,1A,WV,WVU,WVUN,768.0,768.0,West Virginia
West Virginia State Yellow Jackets,West Virginia State College,Yellow Jackets,Mountain East Conference,2,WVS,WV,WVST,1439.0,1439.0,West Virginia St.
West Virginia Tech Golden Bears,West Virginia Tech,Golden Bears,NO FOOTBALL,NAIA,WVT,WEV,WVIT,14901.0,,
West Virginia Wesleyan Bobcats,West Virginia Wesleyan College,Bobcats,Mountain East Conference,2,WVW,WV,WVWE,9630.0,9630.0,West Va. Wesleyan
Western Carolina Catamounts,Western Carolina University,Catamounts,Southern Conference,1AA,WC,WCU,NCWE,769.0,769.0,Western Caro.
Western Connecticut Colonials,Western Connecticut State University,Colonials,Massachusetts State College Athletic Conference,3,WCS,WC,CTWE,770.0,770.0,WestConn
Western Illinois Leathernecks,Western Illinois University,Leathernecks,Missouri Valley Football Conference,1AA,WIU,WES,ILWE,771.0,771.0,Western Ill.
Western Kentucky Hilltoppers,Western Kentucky University,Hilltoppers,Conference USA,1A,WKU,WES,KYWE,772.0,772.0,Western Ky.
Western Michigan Broncos,Western Michigan University,Broncos,Mid-American Conference,1A,WMU,WM,MIWE,774.0,774.0,Western Mich.
Western New England Golden Bears,Western New England College,Golden Bears,New England Football Conference,3,WNE,WNC,MAWE,775.0,775.0,Western New Eng.
Western New Mexico Mustangs,Western New Mexico University,Mustangs,Rocky Mountain Athletic Conference,2,WNM,NM,NMWE,1445.0,1445.0,Western N.M.
Western Oregon Wolves,Western Oregon University,Wolves,Great Northwest Athletic Conference,2,WOU,WES,ORCL,1446.0,1446.0,Western Ore.
Western State Mountaineers,Western State College,Mountaineers,Rocky Mountain Athletic Conference,2,WES,WSC,COWE,2759.0,2759.0,Western Colo.
Westfield Owls,Westfield State College,Owls,Massachusetts State College Athletic Conference,3,WSO,WSC,MAWF,777.0,777.0,Westfield St.
Westminster Blue Jays,Westminster College,Blue Jays,Upper Midwest Athletic Conference,3,WBJ,WC,MOWM,1450.0,1450.0,Westminster (MO)
Westminster Titans,Westminster College,Titans,Presidents Athletic Conference,3,WCT,WES,PAWM,1451.0,1451.0,Westminster (PA)
Wheaton Thunder,Wheaton College (Ill.),Thunder,College Conference of Illinois and Wisconsin,3,WHE,WC,ILWH,778.0,778.0,Wheaton (IL)
Whittier Poets,Whittier College,Poets,Southern California Intercollegiate Athletic Conf.,3,WHI,WC,CAWH,781.0,781.0,Whittier
Whitworth Pirates,Whitworth College,Pirates,Northwest Conference,3,WCP,WC,WAWW,1454.0,1454.0,Whitworth
Widener Pride,Widener University,Pride,Middle Atlantic Conference,3,WID,WU,PAWD,783.0,783.0,Widener
Wilkes Colonels,Wilkes University,Colonels,Middle Atlantic Conference,3,WLK,WU,PAWL,784.0,784.0,Wilkes
Willamette Bearcats,Willamette University,Bearcats,Northwest Conference,3,WIL,WU,ORWI,785.0,785.0,Willamette
William & Mary Tribe,College of William & Mary,Tribe,Colonial Athletic Association,1AA,CWM,WM,VAWM,786.0,786.0,William & Mary
William Jewell Cardinals,William Jewell College,Cardinals,Great Lakes Valley Conference,2,WJ,WJC,MOWJ,30120.0,30120.0,William Jewell
William Paterson Pioneers,William Paterson University,Pioneers,New Jersey Athletic Conference,3,WPP,WPU,NJWP,787.0,787.0,Wm. Paterson
William Penn Statemen,William Penn University,Statemen,Mid-States Football Association,NAIA,WPU,WIL,IAWP,506401.0,506401.0,William Penn
Williams Ephs,Williams College,Ephs,New England Small College Athletic Conference,3,WCE,WC,MAWI,789.0,789.0,Williams
Wilmington Quakers,Wilmington College,Quakers,Ohio Athletic Conference,3,WCQ,WC,OHWL,1461.0,1461.0,Wilmington (OH)
Wingate Bulldogs,Wingate University,Bulldogs,South Atlantic Conference,2,WIN,WU,NCWI,1462.0,1462.0,Wingate
Winona State Warriors,Winona State University,Warriors,Northern Sun Intercollegiate Conference,2,WNS,WSU,MNWI,790.0,790.0,Winona St.
Winston-Salem Rams,Winston-Salem State University,Rams,Central Intercollegiate Athletic Association,2,WSS,WIN,NCWS,791.0,791.0,Winston-Salem
Wisconsin Badgers,University of Wisconsin,Badgers,Big Ten Conference,1A,WI,WIS,WIUN,796.0,796.0,Wisconsin
Wisconsin Lutheran Warriors,Wisconsin Lutheran College,Warriors,Northern Athletics Conference,3,WLW,WIS,WILU,8911.0,8911.0,Wis. Lutheran
Wisconsin-Eau Claire Blugolds,University of Wisconsin-Eau Claire,Blugolds,Wisconsin Intercollegiate Athletic Conference,3,WEC,WIS,WIEC,793.0,793.0,Wis.-Eau Claire
Wisconsin-LaCrosse Eagles,University of Wisconsin-LaCrosse,Eagles,Wisconsin Intercollegiate Athletic Conference,3,WLC,WIS,WILC,795.0,795.0,Wis.-La Crosse
Wisconsin-Oshkosh Titans,University of Wisconsin-Oshkosh,Titans,Wisconsin Intercollegiate Athletic Conference,3,WOS,WIS,WIOS,798.0,798.0,Wis.-Oshkosh
Wisconsin-Platteville Pioneers,University of Wisconsin-Platteville,Pioneers,Wisconsin Intercollegiate Athletic Conference,3,WP,WIS,WIPL,800.0,800.0,Wis.-Platteville
Wisconsin-River Falls Falcons,University of Wisconsin-River Falls,Falcons,Wisconsin Intercollegiate Athletic Conference,3,WRF,RF,WIRF,801.0,801.0,UW-River Falls
Wisconsin-Stevens Point Pointers,University of Wisconsin-Stevens Point,Pointers,Wisconsin Intercollegiate Athletic Conference,3,WSP,WIS,WISP,802.0,802.0,Wis.-Stevens Point
Wisconsin-Stout Blue Devils,University of Wisconsin-Stout,Blue Devils,Wisconsin Intercollegiate Athletic Conference,3,WST,WIS,WIME,803.0,803.0,Wis.-Stout
Wisconsin-Whitewater Warhawks,University of Wisconsin-Whitewater,Warhawks,Wisconsin Intercollegiate Athletic Conference,3,WWH,WIS,WIWH,805.0,805.0,Wis.-Whitewater
Wittenberg Tigers,Wittenberg University,Tigers,North Coast Athletic Conference,3,WIT,WU,OHWT,806.0,806.0,Wittenberg
Wofford Terriers,Wofford College,Terriers,Southern Conference,1AA,WOF,WC,SCWO,2915.0,2915.0,Wofford
Wooster Fighting Scots,College of Wooster,Fighting Scots,North Coast Athletic Conference,3,WOO,CW,OHWO,807.0,807.0,Wooster
Worcester State Lancers,Worcester State College,Lancers,Massachusetts State College Athletic Conference,3,WSL,WOR,MAWS,809.0,809.0,Worcester St.
WPI Engineers,Worcester Polytechnic Institute,Engineers,Liberty League,3,WPI,WOR,MAWP,808.0,808.0,WPI
Wyoming Cowboys,University of Wyoming,Cowboys,Mountain West Conference,1A,WY,WYO,WYUN,811.0,811.0,Wyoming
Yale Bulldogs,Yale University,Bulldogs,Ivy League,1AA,YAL,YU,CTYA,813.0,813.0,Yale
Youngstown State Penguins,Youngstown State University,Penguins,Missouri Valley Football Conference,1AA,YOU,YSU,OHYO,817.0,817.0,Youngstown St.
,,,,,,,,,30123.0,Academy of Art
,,,,,,,,,3.0,Adelphi
,,,,,,,,,11324.0,Agnes Scott
,,,,,,,,,506337.0,Akron-Wayne
,,,,,,,,,10.0,Alabama Huntsville
,,,,,,,,,11.0,Alas. Anchorage
,,,,,,,,,12.0,Alas. Fairbanks
,,,,,,,,,500075.0,Albany Pharmacy
,,,,,,,,,506450.0,Alberta (CAN)
,,,,,,,,,2798.0,Albertus Magnus
,,,,,,,,,506430.0,Algoma (CAN)
,,,,,,,,,500112.0,Alice Lloyd
,,,,,,,,,30240.0,Allen
,,,,,,,,,28746.0,Alverno
,,,,,,,,,506413.0,American (PR)
,,,,,,,,,23.0,American
,,,,,,,,,506365.0,Ana G. MÃ©ndez (PR)
,,,,,,,,,13028.0,Anderson (SC)
,,,,,,,,,506268.0,Andrews
,,,,,,,,,506476.0,Antelope Valley
,,,,,,,,,500174.0,Appalachian Bible
,,,,,,,,,500180.0,Aquinas
,,,,,,,,,966.0,Arcadia
,,,,,,,,,500187.0,Arizona Bible
,,,,,,,,,500215.0,Ark. Baptist
,,,,,,,,,30105.0,Ark.-Fort Smith
,,,,,,,,,32.0,Little Rock
,,,,,,,,,500232.0,Arlington Baptist
,,,,,,,,,30243.0,Asbury
,,,,,,,,,30093.0,AUM
,,,,,,,,,39.0,Augusta
,,,,,,,,,500322.0,Avila
,,,,,,,,,45.0,Babson
,,,,,,,,,500365.0,Baptist Bible (MO)
,,,,,,,,,500381.0,Barclay
,,,,,,,,,962.0,Bard
,,,,,,,,,49.0,Barry
,,,,,,,,,15646.0,Barton
,,,,,,,,,58.0,Baruch
,,,,,,,,,52.0,Bellarmine
,,,,,,,,,500415.0,Bellevue
,,,,,,,,,2683.0,Belmont Abbey
,,,,,,,,,14927.0,Belmont
,,,,,,,,,506498.0,Benedictine Mesa
,,,,,,,,,506374.0,Benedictine-Sprngfld
,,,,,,,,,30171.0,Berea
,,,,,,,,,506167.0,Berkeley (NJ)
,,,,,,,,,506384.0,Berkeley (NY)
,,,,,,,,,30038.0,Bethany Lutheran
,,,,,,,,,500485.0,Bethel (IN)
,,,,,,,,,506379.0,Bethesda (CA)
,,,,,,,,,62.0,Binghamton
,,,,,,,,,30220.0,Biola
,,,,,,,,,64.0,Blackburn
,,,,,,,,,984.0,Bloomfield
,,,,,,,,,500551.0,Blue Mountain (MS)
,,,,,,,,,985.0,Bluefield St.
,,,,,,,,,506320.0,Bob Jones
,,,,,,,,,68.0,Boston U.
,,,,,,,,,506316.0,Boyce
,,,,,,,,,72.0,Bradley
,,,,,,,,,73.0,Brandeis
,,,,,,,,,506451.0,Brandon (CAN)
,,,,,,,,,506178.0,Brenau
,,,,,,,,,500610.0,Brescia
,,,,,,,,,500612.0,Brewton-Parker
,,,,,,,,,74.0,Bridgeport
,,,,,,,,,506366.0,Briercrest (CAN)
,,,,,,,,,506196.0,British Colum. (CAN)
,,,,,,,,,506452.0,B.C.-Okanagan (CAN)
,,,,,,,,,506438.0,Brock (CAN)
,,,,,,,,,79.0,Brooklyn
,,,,,,,,,506542.0,Bry. & Strat. (Roc.)
,,,,,,,,,506538.0,Bry. & Strat. (Alb.)
,,,,,,,,,506496.0,Bry. & Strat. (Buf.)
,,,,,,,,,506539.0,Bry. & Strat. (Syr.)
,,,,,,,,,500660.0,Bryan
,,,,,,,,,30188.0,Bryn Athyn
,,,,,,,,,82.0,Bryn Mawr
,,,,,,,,,503780.0,Bushnell
,,,,,,,,,506555.0,Bay Path
,,,,,,,,,506560.0,Biblical Stud. (TX)
,,,,,,,,,88.0,Cabrini
,,,,,,,,,1305.0,Cairn
,,,,,,,,,91.0,Cal Poly Pomona
,,,,,,,,,995.0,Caldwell
,,,,,,,,,30135.0,California Baptist
,,,,,,,,,500745.0,Cal Maritime
,,,,,,,,,506371.0,UC Merced
,,,,,,,,,30055.0,Cal St. Monterey Bay
,,,,,,,,,94.0,CSU Bakersfield
,,,,,,,,,95.0,Chico St.
,,,,,,,,,92.0,Cal St. Dom. Hills
,,,,,,,,,98.0,Cal St. East Bay
,,,,,,,,,97.0,Cal St. Fullerton
,,,,,,,,,101.0,CSUN
,,,,,,,,,93.0,CSUSB
,,,,,,,,,103.0,Stanislaus St.
,,,,,,,,,100.0,Cal State LA
,,,,,,,,,30198.0,Cal St. San Marcos
,,,,,,,,,109.0,UC Irvine
,,,,,,,,,111.0,UC Riverside
,,,,,,,,,112.0,UC San Diego
,,,,,,,,,104.0,UC Santa Barbara
,,,,,,,,,113.0,UC Santa Cruz
,,,,,,,,,89.0,Caltech
,,,,,,,,,506194.0,Calumet Col.
,,,,,,,,,500768.0,Calvary
,,,,,,,,,114.0,Calvin
,,,,,,,,,996.0,Cameron
,,,,,,,,,506461.0,Camosun (CAN)
,,,,,,,,,506534.0,Camp. Harrodsburg
,,,,,,,,,506535.0,Camp. Somerset
,,,,,,,,,506490.0,Canadian Mennonite
,,,,,,,,,116.0,Canisius
,,,,,,,,,30165.0,SUNY Canton
,,,,,,,,,506409.0,Capilano (CAN)
,,,,,,,,,506030.0,Cardinal Stritch
,,,,,,,,,30253.0,Carlow
,,,,,,,,,504130.0,CarolinaU
,,,,,,,,,500855.0,Catholic (PR)
,,,,,,,,,14795.0,Cedar Crest
,,,,,,,,,30124.0,Cedarville
,,,,,,,,,125.0,Centenary (LA)
,,,,,,,,,12884.0,Centenary (NJ)
,,,,,,,,,506117.0,Central Baptist
,,,,,,,,,500402.0,Central Bayamon
,,,,,,,,,506327.0,Cent. Christian (KS)
,,,,,,,,,500879.0,Cent. Christian Bib.
,,,,,,,,,506372.0,Central Penn
,,,,,,,,,133.0,Chaminade
,,,,,,,,,506304.0,Champion Chris.
,,,,,,,,,1014.0,Col. of Charleston
,,,,,,,,,10972.0,Chatham
,,,,,,,,,21323.0,Chestnut Hill
,,,,,,,,,506537.0,Cheyney
,,,,,,,,,136.0,Chicago St.
,,,,,,,,,500958.0,Christendom
,,,,,,,,,1015.0,Christian Brothers
,,,,,,,,,480.0,CCNY
,,,,,,,,,30058.0,Claflin
,,,,,,,,,958.0,Clarks Summit
,,,,,,,,,145.0,Clark (MA)
,,,,,,,,,506382.0,Clarke
,,,,,,,,,146.0,Clarkson
,,,,,,,,,20576.0,Clayton St.
,,,,,,,,,506322.0,Cleary
,,,,,,,,,148.0,Cleveland St.
,,,,,,,,,506557.0,Clinton
,,,,,,,,,502747.0,Coastal Ga.
,,,,,,,,,30083.0,Cobleskill St.
,,,,,,,,,1023.0,Coker
,,,,,,,,,152.0,Colby-Sawyer
,,,,,,,,,11403.0,Colo. Christian
,,,,,,,,,154.0,Colorado Col.
,,,,,,,,,9754.0,UC-Colo. Springs
,,,,,,,,,501097.0,Columbia (MO)
,,,,,,,,,501098.0,Columbia (SC)
,,,,,,,,,506287.0,Columbia Bible (CAN)
,,,,,,,,,506478.0,Columbia Int'l
,,,,,,,,,159.0,Columbus St.
,,,,,,,,,30199.0,CUI
,,,,,,,,,24400.0,Concordia (TX)
,,,,,,,,,506358.0,Concordia-Montreal
,,,,,,,,,163.0,Connecticut Col.
,,,,,,,,,8935.0,Converse
,,,,,,,,,501167.0,Cooper Union
,,,,,,,,,165.0,Coppin St.
,,,,,,,,,505690.0,Corban
,,,,,,,,,501182.0,Cornerstone
,,,,,,,,,506533.0,Cottey
,,,,,,,,,30111.0,Covenant
,,,,,,,,,169.0,Creighton
,,,,,,,,,506350.0,Crowley's Ridge
,,,,,,,,,506352.0,Culinary Institute
,,,,,,,,,506561.0,Caribbean-BayamÃ³n
,,,,,,,,,506565.0,Carolina Christian
,,,,,,,,,1059.0,D'Youville
,,,,,,,,,30174.0,Daemen
,,,,,,,,,1044.0,Dallas
,,,,,,,,,1045.0,DBU
,,,,,,,,,501242.0,Dallas Christian
,,,,,,,,,506472.0,Dalton St.
,,,,,,,,,174.0,Davis & Elkins
,,,,,,,,,506376.0,Dayspring Bible
,,,,,,,,,30225.0,SUNY Delhi
,,,,,,,,,183.0,Denver
,,,,,,,,,176.0,DePaul
,,,,,,,,,20.0,DeSales
,,,,,,,,,184.0,Detroit Mercy
,,,,,,,,,501365.0,Dillard
,,,,,,,,,506505.0,DinÃ©
,,,,,,,,,186.0,Dist. Columbia
,,,,,,,,,506020.0,Doane
,,,,,,,,,30118.0,Dominican (CA)
,,,,,,,,,1332.0,Dominican (IL)
,,,,,,,,,8956.0,Dominican (NY)
,,,,,,,,,506462.0,Douglas (CAN)
,,,,,,,,,190.0,Drew
,,,,,,,,,191.0,Drexel
,,,,,,,,,1057.0,Drury
,,,,,,,,,506193.0,East-West U.
,,,,,,,,,200.0,Eastern Conn. St.
,,,,,,,,,203.0,East. Mennonite
,,,,,,,,,1064.0,Eastern Nazarene
,,,,,,,,,8968.0,Eastern
,,,,,,,,,506323.0,Ecclesia
,,,,,,,,,208.0,Eckerd
,,,,,,,,,1066.0,Edgewood
,,,,,,,,,30244.0,Edward Waters
,,,,,,,,,211.0,Elizabethtown
,,,,,,,,,213.0,Elmira
,,,,,,,,,532.0,Elms
,,,,,,,,,506341.0,Embry-Riddle (AZ)
,,,,,,,,,9680.0,Embry-Riddle (FL)
,,,,,,,,,214.0,Emerson
,,,,,,,,,30193.0,Emmanuel (GA)
,,,,,,,,,215.0,Emmanuel (MA)
,,,,,,,,,506096.0,Emmaus
,,,,,,,,,217.0,Emory
,,,,,,,,,1072.0,Erskine
,,,,,,,,,219.0,Evansville
,,,,,,,,,506184.0,Evergreen St.
,,,,,,,,,220.0,Fairfield
,,,,,,,,,222.0,FDU
,,,,,,,,,501657.0,Faith Bapt. Bible
,,,,,,,,,506541.0,Fanshawe (CAN)
,,,,,,,,,27892.0,Farmingdale St.
,,,,,,,,,23157.0,Felician
,,,,,,,,,501678.0,Fisher
,,,,,,,,,506381.0,Fisk
,,,,,,,,,506170.0,Five Towns
,,,,,,,,,30092.0,Flagler
