Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,NFS Team Code,NCAA ID,ID,Institution
Northwestern Red Raiders,Northwestern College,Red Raiders,Great Plains Athletic Conference,NAIA,NW,NWC,IANW,506072.0,506072.0,Northwestern (IA)
Northwestern State Demons,Northwestern State University,Demons,Southland Conference,1AA,NWS,NW,LANW,508.0,508.0,Northwestern St.
Northwestern Wildcats,Northwestern University,Wildcats,Big Ten Conference,1A,NW,NWU,ILNW,509.0,509.0,Northwestern
Northwood Timberwolves,Northwood University,Timberwolves,Great Lakes Intercollegiate Athletic Conference,2,NWT,NWU,MINW,510.0,510.0,Northwood
Norwich Cadets,Norwich University,Cadets,Eastern Collegiate Football Conference,3,NUC,NU,VTNO,511.0,511.0,Norwich
Notre Dame Falcons,Notre Dame College,Falcons,Mountain East Conference,2,NDC,ND,OHND,30126.0,30126.0,Notre Dame (OH)
Notre Dame Fighting Irish,University of Notre Dame,Fighting Irish,Independent,1A,ND,UND,INND,513.0,513.0,Notre Dame
Oberlin Yeomen,Oberlin College,Yeomen,North Coast Athletic Conference,3,OBE,OC,OHOB,515.0,515.0,Oberlin
Occidental Tigers,Occidental College,Tigers,Southern California Intercollegiate Athletic Conf.,3,OCC,OC,CAOC,516.0,516.0,Occidental
Ohio Bobcats,Ohio University,Bobcats,Mid-American Conference,1A,OU,OHU,OHUN,519.0,519.0,Ohio
Ohio Dominican Panthers,Ohio Dominican University,Panthers,Great Lakes Intercollegiate Athletic Conference,2,ODU,OD,OHDO,30119.0,30119.0,Ohio Dominican
Ohio Northern Polar Bears,Ohio Northern University,Polar Bears,Ohio Athletic Conference,3,ONU,OHN,OHNO,517.0,517.0,Ohio Northern
Ohio State Buckeyes,Ohio State University,Buckeyes,Big Ten Conference,1A,OSU,OS,OHST,518.0,518.0,Ohio St.
Ohio Wesleyan Battling Bishops,Ohio Wesleyan University,Battling Bishops,North Coast Athletic Conference,3,OWU,OW,OHWS,520.0,520.0,Ohio Wesleyan
Oklahoma Baptist Bison,Oklahoma Baptist University,Bison,Great American Conference,2,OB,OBU,OKBP,30202.0,30202.0,Okla. Baptist
Oklahoma Panhandle Aggies,Oklahoma Panhandle State University,Aggies,Independent,2,OPS,OP,OKPH,506515.0,506515.0,Okla. Panhandle
Oklahoma Sooners,University of Oklahoma,Sooners,Big Twelve Conference,1A,OK,UOK,OKUN,522.0,522.0,Oklahoma
Oklahoma State Cowboys,Oklahoma State University,Cowboys,Big Twelve Conference,1A,OKC,OKS,OKST,521.0,521.0,Oklahoma St.
Old Dominion Monarchs,Old Dominion University,Monarchs,Conference USA,1A,OLD,ODU,VAOD,523.0,523.0,Old Dominion
Olivet Comets,Olivet College,Comets,Michigan Intercollegiate Athletic Association,3,OLI,OC,MIOL,525.0,525.0,Olivet
Olivet Nazarene Tigers,Olivet Nazarene University,Tigers,Mid-States Football Association,NAIA,ON,ONU,ILOL,506045.0,506045.0,Olivet Nazarene
Oregon Ducks,University of Oregon,Ducks,Pacific Twelve Conference,1A,OR,ORE,ORUN,529.0,529.0,Oregon
Oregon State Beavers,Oregon State University,Beavers,Pacific Twelve Conference,1A,ORE,OSU,ORST,528.0,528.0,Oregon St.
Ottawa Braves,Ottawa University,Braves,Kansas Collegiate Athletic Conference,NAIA,OTT,OU,KSOT,506046.0,506046.0,Ottawa (KS)
Otterbein Otters,Otterbein College,Otters,Ohio Athletic Conference,3,OTT,OC,OHOT,531.0,531.0,Otterbein
Ouachita Tigers,Ouachita Baptist University,Tigers,Great American Conference,2,OUA,OBU,AROU,1289.0,1289.0,Ouachita Baptist
Pace Settlers,Pace University,Settlers,Northeast-10 Conference,2,PAC,PU,NYPA,533.0,533.0,Pace
Pacific Boxers,Pacific University,Boxers,Northwest Conference,3,PUB,PCU,ORPA,2751.0,2751.0,Pacific (OR)
Pacific Lutheran Lutes,Pacific Lutheran University,Lutes,Northwest Conference,3,PLU,PL,WAPL,1297.0,1297.0,Pacific Lutheran
Paine Lions,Paine College,Lions,Southern Intercollegiate Athletic Conference,2,PC,PAI,GAPA,535.0,,
Penn State Nittany Lions,Penn State University,Nittany Lions,Big Ten Conference,1A,PSU,PEN,PAST,539.0,539.0,Penn St.
Pennsylvania Quakers,University of Pennsylvania,Quakers,Ivy League,1AA,PA,PEN,PAUN,540.0,540.0,Penn
Phoenix Bears,Phoenix College,Bears,Western States Football Conference,NJCAA,PHX,PHO,AZPH,506470.0,,
Pikeville Bears,University of Pikeville,Bears,Mid-South Conference,NAIA,PIK,UP,KYPV,504135.0,504135.0,Pikeville
Pittsburg State Gorillas,Pittsburg State University,Gorillas,Mid-America Intercollegiate Athletic Association,2,PSG,PSU,KSPS,1314.0,1314.0,Pittsburg St.
Pittsburgh Panthers,University of Pittsburgh,Panthers,Atlantic Coast Conference,1A,PIT,UP,PAPT,545.0,545.0,Pittsburgh
Plymouth State Panthers,Plymouth State College,Panthers,Massachusetts State College Athletic Conference,3,PS,PSC,NHPL,548.0,548.0,Plymouth St.
Point Skyhawks,Point University,Skyhawks,Independent,NAIA,PU,POI,GAPT,500270.0,500270.0,Point U.
Pomona-Pitzer Sagehens,Pomona-Pitzer Colleges,Sagehens,Southern California Intercollegiate Athletic Conf.,3,PPC,POP,CAPZ,549.0,549.0,Pomona-Pitzer
Portland State Vikings,Portland State University,Vikings,Big Sky Conference,1AA,PSV,POR,ORPS,550.0,550.0,Portland St.
Prairie View A&M Panthers,Prairie View A&M University,Panthers,Southwestern Athletic Conference,1AA,PV,PVA,TXPV,553.0,553.0,Prairie View
Presbyterian Blue Hose,Presbyterian College,Blue Hose,Big South Conference,1AA,PRE,PC,SCPR,1320.0,1320.0,Presbyterian
Presentation Saints,Presentation College,Saints,North Star Athletic Association,NAIA,PC,PRE,SDPR,504212.0,504212.0,Presentation
Princeton Tigers,Princeton University,Tigers,Ivy League,1AA,PRI,PU,NJPR,554.0,554.0,Princeton
Puget Sound Loggers,University of Puget Sound,Loggers,Northwest Conference,3,PG,UPG,WAPU,557.0,557.0,Puget Sound
Purdue Boilermakers,Purdue University,Boilermakers,Big Ten Conference,1A,PUR,PU,INPU,559.0,559.0,Purdue
Quincy Hawks,Quincy University,Hawks,Great Lakes Valley Conference,2,QUI,QUN,ILQU,561.0,561.0,Quincy
Randolph-Macon Yellow Jackets,Randolph-Macon College,Yellow Jackets,Old Dominion Athletic Conference,3,RM,RMC,VARM,565.0,565.0,Randolph-Macon
Redlands Bulldogs,University of Redlands,Bulldogs,Southern California Intercollegiate Athletic Conf.,3,RDB,UR,CARE,567.0,567.0,Redlands
Reinhardt Eagles,Reinhardt University,Eagles,Mid-South Conference,NAIA,REI,RU,GARE,506141.0,506141.0,Reinhardt
Rhode Island Rams,University of Rhode Island,Rams,Colonial Athletic Association,1AA,RI,URI,RIUN,572.0,572.0,Rhode Island
Rhodes Lynx,Rhodes College,Lynx,Southern Athletic Association,3,RHO,RC,TNSW,573.0,573.0,Rhodes
Rice Owls,Rice University,Owls,Conference USA,1A,RIC,RU,TXRI,574.0,574.0,Rice
Richmond Spiders,University of Richmond,Spiders,Colonial Athletic Association,1AA,RIS,UR,VARI,575.0,575.0,Richmond
Ripon Red Hawks,Ripon College,Red Hawks,Midwest Conference,3,RIP,RC,WIRI,577.0,577.0,Ripon
Robert Morris Colonials,Robert Morris University,Colonials,Northeast Conference,1AA,RMU,ROB,PARM,579.0,579.0,Robert Morris
Robert Morris Eagles,Robert Morris University,Eagles,Mid-States Football Association,NAIA,RMU,ROB,ILRM,504364.0,,
Rochester Yellowjackets,University of Rochester,Yellowjackets,Liberty League,3,ROC,RCH,NYRU,581.0,581.0,Rochester (NY)
Rockford Regents,Rockford College,Regents,Northern Athletics Conference,3,RCR,RC,ILRF,582.0,582.0,Rockford
Rocky Mountain Battlin' Bears,Rocky Mountain College,Battlin' Bears,Frontier Conference,NAIA,RM,RMC,MTRM,506025.0,506025.0,Rocky Mountain
Rose-Hulman Fightin' Engineers,Rose-Hulman Institute of Technology,Fightin' Engineers,Heartland Collegiate Athletic Conference,3,RH,ROS,INRH,585.0,585.0,Rose-Hulman
Rowan Profs,Rowan University,Profs,New Jersey Athletic Conference,3,ROW,RU,NJGL,259.0,259.0,Rowan
RPI Engineers,Rensselaer Polytechnic Institute,Engineers,Liberty League,3,RPI,REN,NYRE,570.0,570.0,Rensselaer
Rutgers Scarlet Knights,Rutgers University,Scarlet Knights,Big Ten Conference,1A,RUT,RU,NJRU,587.0,587.0,Rutgers
Sacred Heart Pioneers,Sacred Heart University,Pioneers,Northeast Conference,1AA,SH,SAC,CTSH,590.0,590.0,Sacred Heart
Saginaw Valley State Cardinals,Saginaw Valley State University,Cardinals,Great Lakes Intercollegiate Athletic Conference,2,SAG,SVS,MISV,591.0,591.0,Saginaw Valley
Saint Anselm Hawks,St. Anselm College,Hawks,Northeast-10 Conference,2,SAC,SA,NHSA,593.0,593.0,St. Anselm
Saint Augustine's Mighty Falcons,Saint Augustine's College,Mighty Falcons,Central Intercollegiate Athletic Association,2,SA,SAC,NCSA,594.0,594.0,Saint Augustine's
Saint Francis Red Flash,Saint Francis University,Red Flash,Northeast Conference,1AA,SF,SFU,PASF,600.0,600.0,Saint Francis (PA)
Saint Mary Spires,University of Saint Mary,Spires,Kansas Collegiate Athletic Conference,NAIA,SM,USM,KSSM,506064.0,506064.0,St. Mary (KS)
Saint Vincent Bearcats,Saint Vincent College,Bearcats,Presidents Athletic Conference,3,SV,SVU,PASV,30064.0,30064.0,Saint Vincent
Saint Xavier Cougars,Saint Xavier University,Cougars,Mid-States Football Association,NAIA,SX,SXU,ILSX,504660.0,504660.0,St. Xavier
Salisbury Sea Gulls,Salisbury State University,Sea Gulls,New Jersey Athletic Conference,3,SAL,SSU,MDSA,622.0,622.0,Salisbury
Salve Regina Seahawks,Salve Regina University,Seahawks,New England Football Conference,3,SR,SAL,RISR,623.0,623.0,Salve Regina
Sam Houston State Bearkats,Sam Houston State University,Bearkats,Southland Conference,1AA,SHS,SAM,TXSH,624.0,624.0,Sam Houston
Samford Bulldogs,Samford University,Bulldogs,Southern Conference,1AA,SAM,SMF,ALSM,625.0,625.0,Samford
San Diego State Aztecs,San Diego State University,Aztecs,Mountain West Conference,1A,SDS,SD,CASS,626.0,626.0,San Diego St.
San Diego Toreros,University of San Diego,Toreros,Pioneer Football League,1AA,SD,USD,CASU,627.0,627.0,San Diego
San Jose State Spartans,San Jose State University,Spartans,Mountain West Conference,1A,SJS,SJ,CASJ,630.0,630.0,San Jose St.
Savannah State Tigers,Savannah State University,Tigers,Mid-Eastern Athletic Conference,1AA,SAV,SSU,GASA,632.0,632.0,Savannah St.
Seton Hill Griffins,Seton Hill University,Griffins,Pennsylvania State Athletic Conference,2,SHG,SET,PASE,30063.0,30063.0,Seton Hill
Sewanee Tigers,The University of the South,Tigers,Southern Athletic Association,3,SEW,TUS,TNUS,652.0,652.0,Sewanee
Shaw Bears,Shaw University,Bears,Central Intercollegiate Athletic Association,2,SHA,SU,NCSH,636.0,636.0,Shaw
Shenandoah Hornets,Shenandoah University,Hornets,Old Dominion Athletic Conference,3,SHE,SU,VASU,637.0,637.0,Shenandoah
Shepherd Rams,Shepherd University,Rams,Mountain East Conference,2,SHP,SU,WVSH,10870.0,10870.0,Shepherd
Shippensburg Raiders,Shippensburg University,Raiders,Pennsylvania State Athletic Conference,2,SU,SHI,PASH,638.0,638.0,Shippensburg
Shorter Hawks,Shorter University,Hawks,Gulf South Conference,2,SUH,SHO,GASH,30151.0,30151.0,Shorter
Siena Heights Saints,Siena Heights University,Saints,Mid-States Football Association,NAIA,SH,SHU,MISH,504800.0,504800.0,Siena Heights
Simon Fraser Clan,Simon Fraser University,Clan,Great Northwest Athletic Conference,2,SIF,SFU,CNSF,30127.0,30127.0,Simon Fraser
Simpson Storm,Simpson College,Storm,Iowa Intercollegiate Athletic Conference,3,SIM,SC,IASI,641.0,641.0,Simpson
Sioux Falls Cougars,University of Sioux Falls,Cougars,Northern Sun Intercollegiate Conference,2,SFC,SF,SDSF,30128.0,30128.0,Sioux Falls
SJC Pumas,St. Joseph's College,Pumas,Great Lakes Valley Conference,2,SJC,SJ,INSJ,604.0,,
Slippery Rock The Rock,Slippery Rock University,The Rock,Pennsylvania State Athletic Conference,2,SLI,SRU,PASR,643.0,643.0,Slippery Rock
South Alabama Jaguars,University of South Alabama,Jaguars,Sun Belt Conference,1A,USA,SA,ALSO,646.0,646.0,South Alabama
South Carolina Gamecocks,University of South Carolina,Gamecocks,Southeastern Conference,1A,SC,USC,SCUN,648.0,648.0,South Carolina
South Carolina State Bulldogs,South Carolina State University,Bulldogs,Mid-Eastern Athletic Conference,1AA,SCS,SC,SCST,647.0,647.0,South Carolina St.
South Dakota Coyotes,University of South Dakota,Coyotes,Missouri Valley Football Conference,1AA,SDC,USD,SDVE,650.0,650.0,South Dakota
South Dakota School of Mines Hardrockers,South Dakota School of Mines and Technology,Hardrockers,Great Northwest Athletic Conference,2,SDM,SDT,SDMI,30139.0,30139.0,South Dakota Mines
South Dakota State Jackrabbits,South Dakota State University,Jackrabbits,Missouri Valley Football Conference,1AA,SDJ,SD,SDST,649.0,649.0,South Dakota St.
South Florida Bulls,University of South Florida,Bulls,American Athletic Conference,1A,USF,SFL,FLSO,651.0,651.0,South Fla.
Southeast Missouri Redhawks,Southeast Missouri State University,Redhawks,Ohio Valley Conference,1AA,SEM,SMS,MOSE,654.0,654.0,Southeast Mo. St.
Southeastern Fire,Southeastern University,Fire,The Sun Conference,NAIA,SE,SEU,FLSE,506151.0,506151.0,Southeastern (FL)
Southeastern Louisiana Lions,Southeastern Louisiana University,Lions,Southland Conference,1AA,SEL,SLU,LASE,655.0,655.0,Southeastern La.
Southeastern Oklahoma Savage Storm,Southeastern Oklahoma State University,Savage Storm,Great American Conference,2,SEO,SE,OKSE,1371.0,1371.0,Southeastern Okla.
